tipo,texto
ham,"Acabo de llegar a casa, ¿nos conectamos luego?"
ham,"La presentación quedó lista, te la comparto más tarde."
ham,"Recuerda llevar tu identificación para el trámite."
ham,"Hoy no podré asistir al entrenamiento."
ham,"¿Quieres que pase por ti en la mañana?"
ham,"Estoy preparando café, ¿quieres uno?"
ham,"El paquete llegó sin problemas, ya lo guardé."
ham,"¿Viste la película que te recomendé?"
ham,"Tengo una duda sobre el proyecto, ¿puedes ayudarme?"
ham,"Feliz cumpleaños, espero que tengas un excelente día."
ham,"Agregué las notas a la carpeta compartida."
ham,"Ya imprimí los documentos para la reunión."
ham,"Voy camino al trabajo, llego en 20 minutos."
ham,"Gracias por tu ayuda hoy."
ham,"El evento empieza a las 6, no llegues tarde."
ham,"Tu pedido está listo para recogerlo en la tienda."
ham,"¿Me confirmas si vienes al almuerzo?"
ham,"Mañana habrá mantenimiento en el sistema."
ham,"La mascota del vecino tuvo cachorros."
ham,"¿Quieres unirte a la videollamada del equipo?"
ham,"Compré los ingredientes para la cena de hoy."
ham,"Te mando la dirección por mensaje privado."
ham,"El clima está perfecto para salir a caminar."
ham,"¿Puedes enviarme la foto que tomaste ayer?"
ham,"Ten cuidado en la carretera, hay mucho tráfico."
ham,"Revisé el informe y ya se ve bien."
ham,"Hoy hay descuento en la librería."
ham,"Voy a llegar un poco tarde, discúlpame."
ham,"El taller empieza el viernes, no lo olvides."
ham,"¿Necesitas que te ayude con tus compras?"
ham,"Dejé las llaves sobre la mesa."
ham,"Mañana tenemos reunión de equipo."
ham,"¿Lograste instalar el programa?"
ham,"La película estuvo excelente, deberías verla."
ham,"Estoy libre esta tarde por si quieres hablar."
spam,"¡GANASTE! Haz clic para reclamar tu premio de $1,000,000 ahora."
spam,Oferta limitada: el 90% de descuento en medicamentos. Solo hoy.
spam,Gana dinero fácil desde casa. Sin experiencia necesaria. Regístrate aquí.
spam,Tu cuenta bancaria ha sido bloqueada. Confirma tus datos en este enlace.
spam,"¿Quieres más seguidores? Compra 10,000 seguidores por solo $5."
spam,¡URGENTE! Necesitamos tu ayuda para transferir una gran suma de dinero.
spam,Eres elegible para un préstamo de bajo interés. Responde SÍ para aplicar.
spam,Desbloquea tus fantasías secretas con este sitio web. Solo para adultos.
spam,"Felicitaciones, has sido seleccionado para una prueba gratuita de 30 días."
spam,Elimina la grasa abdominal rápidamente. Producto milagroso. ¡Cómpralo ya!
spam,Última oportunidad de invertir en nuestra criptomoneda exclusiva.
spam,Tu iPhone ha sido infectado. Haz clic para limpiar el virus de inmediato.
spam,Venta flash: perfumes de marca a precios increíbles. Envío gratis.
spam,NO ABRIR. Mensaje clasificado como alto riesgo de seguridad.
spam,¿Cansado de trabajar? Vive de ingresos pasivos. Curso intensivo por $19.99.
spam,Tienes un paquete pendiente de entrega. Paga la tarifa de aduana aquí.
spam,Mensaje automático: Hemos detectado actividad sospechosa en tu tarjeta.
spam,¡Aumenta tu rendimiento! Suplemento 100% natural garantizado.
spam,Conoce solteros cerca de ti. Regístrate gratis en menos de un minuto.
spam,"Eres el visitante número 1,000,000. Reclama tu recompensa."
spam,Nunca más te preocupes por las deudas. Llama a este número ahora.
spam,"Oportunidad de trabajo: solo unas horas al día, gran remuneración."
spam,La clave de licencia de tu software ha caducado. Haz clic para renovar.
spam,Te hemos estado observando. Paga $500 en Bitcoin para evitar problemas.
spam,Obtén tu título universitario en 30 días. Sin exámenes.
spam,Un pariente lejano te ha dejado una herencia millonaria. Contáctanos.
spam,¿Necesitas Viagra? Enviamos discretamente a tu domicilio.
spam,¡Descuento EXCLUSIVO para ti! Válido solo por las próximas 6 horas.
spam,Tu suscripción se renovará automáticamente por $299. Cancela aquí.
spam,Este es un mensaje de prueba de nuestro nuevo sistema de phishing.
spam,Libros electrónicos gratuitos sobre cómo hacerse rico rápidamente. Descárgalos.
spam,Compra acciones de empresas no cotizadas con un potencial de 100x.
spam,Revisa los resultados de tu lotería. Tu número ha sido seleccionado.
spam,¡Garantizado! Baja 10 kilos en una semana con nuestra dieta secreta.
spam,Se requiere una verificación inmediata de tu cuenta de email.
spam,La mejor VPN ilimitada a un precio ridículo. Compra ahora.
spam,Haz match con mujeres jóvenes y hermosas. 100% perfiles verificados.
spam,¡Feliz cumpleaños! Reclama tu regalo sorpresa de nuestra tienda.
spam,Aviso de desalojo: haz clic aquí para pagar el alquiler atrasado.
spam,Hazte millonario en 30 días. Método probado y garantizado.
ham,¿Nos vemos en el café a las 3 PM para discutir el proyecto?
ham,Te envío adjunto el documento que me pediste para la reunión de mañana.
ham,¡Hola! ¿Cómo te fue en tu viaje de fin de semana? Mándame fotos.
ham,El código de verificación para tu inicio de sesión es: 839201.
ham,Recuerda que la clase de yoga se canceló hoy por el mal clima.
ham,Gracias por tu pedido. Tu número de seguimiento es: 45R98T2H.
ham,"¿Podrías comprar leche y pan de camino a casa, por favor?"
ham,La factura de este mes ya está disponible para su descarga en el portal.
ham,Acabo de ver la película que me recomendaste. ¡Me encantó!
ham,¿Me puedes recordar el nombre del restaurante al que fuimos el sábado?
ham,El informe trimestral estará listo para su revisión el viernes.
ham,Hemos recibido tu solicitud. Uno de nuestros agentes te contactará pronto.
ham,¿Llegaste bien? Avísame cuando estés en casa.
ham,El próximo evento de la empresa será el 15 de diciembre en el salón principal.
ham,¿Tienes los apuntes de la última clase de matemáticas? Los perdí.
ham,Mañana tenemos el dentista a las 10:30 AM. No olvides el seguro.
ham,El perro necesita un paseo. ¿Puedes sacarlo en cuanto llegues?
ham,Te confirmo que el cambio de horario ha sido aprobado.
ham,¡Felicidades por tu ascenso! ¡Te lo mereces!
ham,"Este es el itinerario de vuelo: Salida 14:00, Llegada 18:30."
ham,La reserva del hotel está a nombre de Juan Pérez.
ham,¿Me prestas tu cargador de celular? El mío se rompió.
ham,"El precio final del presupuesto es de $1,500 antes de impuestos."
ham,"Por favor, revisa el archivo adjunto para ver las correcciones."
ham,"El ensayo debe tener un mínimo de 1,000 palabras. La fecha límite es el lunes."
ham,El número de mesa para la cena es el 5. Pregunta por mi nombre.
ham,¿Alguien va al supermercado? Necesito huevos y mantequilla.
ham,El pronóstico del tiempo para mañana es de lluvia. Lleva paraguas.
ham,El recibo de tu donación ya fue enviado a tu correo.
ham,El router no funciona. Voy a llamar al servicio técnico.
ham,¿Vienes a la fiesta de cumpleaños de María? Es a las 8 PM.
ham,Tu cita médica ha sido confirmada para el jueves a las 4 PM.
ham,La olla a presión está en la estantería de arriba. Ten cuidado.
ham,¿Quieres ir al cine a ver la nueva película de acción?
ham,Se ha registrado un nuevo dispositivo en tu cuenta. ¿Fuiste tú?
ham,"Te llamo en 10 minutos, estoy terminando una videollamada."
ham,El concierto de la banda empieza a las 9 PM. Ya tengo las entradas.
ham,El plazo para pagar la colegiatura vence este fin de semana.
ham,El nuevo horario de la biblioteca es de 9 AM a 7 PM.
ham,"Por favor, verifica tu dirección de envío antes de confirmar el pedido."
spam,"¡FELICIDADES! Has ganado $1,000,000 dólares. Haz clic aquí para reclamar tu premio ahora: bit.ly/gana-ya"
spam,"Tu cuenta de Banco será bloqueada en 24h. Verifica tu identidad aquí: bancofalso-login.com"
spam,"Pierde 20kg en 1 semana con nuestras pastillas milagrosas. 95% de descuento solo hoy!"
spam,"Hola guapa, eres muy hermosa. ¿Quieres ver mi foto privada? 😏"
spam,"Transferencia recibida: $5,500. Confirma tu cuenta bancaria para recibir el dinero: linkfalso.com"
spam,"URGENTE: Tu paquete está retenido en aduana. Paga $2.99 para liberarlo: aduanafalsa.com"
spam,"Has sido seleccionado para un iPhone 16 Pro GRATIS. Solo 3 unidades restantes!"
spam,"Amplía tu miembro 8cm en 30 días. Producto 100% natural y garantizado."
spam,"Netflix: Tu suscripción caduca hoy. Renueva ahora o perderás el acceso: netflix-cobro.com"
spam,"Tu número ganó el sorteo de Walmart. Reclama tu tarjeta de $500 aquí."
spam,"Préstamo aprobado de hasta $50,000 sin buró de crédito. Respuesta en 5 minutos."
spam,"Mamá te extraño, mándame dinero por favor, perdí el celular. Este es mi nuevo número."
spam,"Oferta exclusiva: Viagra genérico al 90% de descuento. Envío discreto."
spam,"Tu Apple ID ha sido bloqueado por actividad sospechosa. Restablécelo aquí: appleid-seguridad.com"
spam,"Gana $500 diarios trabajando desde casa. Solo necesitas registrarte aquí."
spam,"¡Última oportunidad! Compra Bitcoin y duplica tu inversión en 24h."
spam,"Eres el visitante 999,999. Haz clic para ganar un premio sorpresa."
spam,"Tu tarjeta de crédito fue usada en otro país. Confirma que fuiste tú: linkbancariofalso.com"
spam,"Hola, soy una modelo rusa buscando pareja seria. ¿Hablamos en privado?"
spam,"Descarga esta app y gana $100 por cada amigo que invites."
spam,"Tu IMEI está en lista negra. Desbloquea tu celular aquí por solo $19.99"
spam,"Tarot gratis + primera consulta 3 minutos sin costo. Llama ya al 806xxxxxx"
spam,"Recarga tu saldo y duplica el monto al instante. Oferta limitada."
spam,"Has sido preaprobado para un crédito de $100,000. Sin aval ni comprobantes."
spam,"Fotos íntimas de tu ex filtradas. Haz clic antes de que se hagan públicas."
spam,"Amazon: Tu pedido #AMZ12345 fue cancelado. Revisa aquí para reactivarlo."
spam,"Tu WhatsApp será desactivado en 2 horas si no verificas tu cuenta."
spam,"Invertiste en criptomonedas y ganaste $12,450. Retira tus ganancias aquí."
spam,"Seguro médico gratis para ti y tu familia. Solo llena este formulario."
spam,"Tu perfil fue reportado. Confirma que no violas las normas aquí."
spam,"Gana un viaje todo incluido a Cancún para 2 personas. Solo hoy."
spam,"Antivirus detectó 47 virus en tu celular. Descarga la limpieza ahora."
spam,"Tu cuenta de Facebook será eliminada permanentemente en 24h. Haz clic para salvarla."
spam,"Prueba gratis 30 días de Disney+, HBO y Netflix en un solo lugar."
spam,"Tu número fue seleccionado para un premio de $250,000 en efectivo."
spam,"Remedio casero para la calvicie. Resultados en 7 días o te devolvemos tu dinero."
spam,"Hola, soy el técnico de tu banco. Necesito tus datos para solucionar un error."
spam,"Cupón de $1000 para Shein. Solo 10 cupones restantes."
spam,"Tu celular ha sido infectado con un virus espía. Limpia ahora gratis."
spam,"¡Felicidades! Eres el ganador del sorteo de Liverpool. Reclama tu premio."
ham,"Oye, ya llegué al súper, ¿necesitas algo más además de leche y pan?"
ham,"Mañana tenemos reunión a las 10 am, no lo olvides por favor."
ham,"Te envío la presentación que me pediste, dime si necesitas cambios."
ham,"Feliz cumpleaños mamá! Te queremos mucho ❤️"
ham,"El profe subió las calificaciones, saqué 9.5 en matemáticas 😎"
ham,"¿A qué hora pasamos por ti para ir al cine?"
ham,"Ya pagué la luz, aquí te mando el comprobante."
ham,"Gracias por prestarme el libro, está muy bueno."
ham,"Nos vemos en la cafetería a las 6, ¿va?"
ham,"Te extraño mucho, ojalá nos veamos pronto."
ham,"El pedido ya llegó, gracias por recomendar esa tienda."
ham,"¿Ya viste la nueva temporada de Stranger Things? Está increíble."
ham,"Te mando la ubicación del restaurante donde quedamos."
ham,"No olvides llevar el cargador, aquí no hay enchufes."
ham,"Listo, ya reservé la mesa para las 8 pm."
ham,"¿Cómo te fue en el examen de hoy?"
ham,"Aquí está el PDF con el contrato, revísalo cuando puedas."
ham,"Avísame cuando salgas del trabajo para coordinar."
ham,"Te dejé las llaves debajo del tapete, entra sin problema."
ham,"¿Vas a ir al partido del sábado? Yo sí voy."
ham,"Ya terminé el reporte, te lo envío en 5 minutos."
ham,"Cuídate mucho, está haciendo mucho frío."
ham,"Gracias por ayudarme con la mudanza, no sé qué haría sin ti."
ham,"¿Me pasas la receta del pastel que hiciste? Quedó delicioso."
ham,"El veterinario dijo que Luna está perfecta de salud."
ham,"Te comparto la playlist que armé para el viaje."
ham,"Nos vemos el domingo en casa de los abuelos."
ham,"Ya compré los boletos para el concierto, ¿cuánto te debo?"
ham,"Avísame si necesitas que te dé raite al aeropuerto."
ham,"Te mando foto de cómo quedó el pastel de cumpleaños."
ham,"Estoy en la fila del banco, tardo un poco más."
ham,"¿Te late pedir sushi o mejor tacos para la cena?"
ham,"Ya quedó lista la tarea de los niños, gracias por la ayuda."
ham,"Te quiero mucho, que tengas un excelente día ❤️"
ham,"El profe adelantó el examen para el viernes, hay que estudiar."
ham,"¿Vas a la junta de padres mañana en la escuela?"
ham,"Ya deposité lo de la colegiatura, aquí está el comprobante."
ham,"Oye, ¿me prestas tu cargador? Se me olvidó el mío."
ham,"Nos vemos en el gimnasio a las 7, no me falles."
ham,"Te paso el contacto del plomero, es muy bueno y confiable."
spam,"¡GANA DINERO FÁCIL! Trabaja desde casa y gana $5000 mensuales. Sin experiencia requerida. Haz clic aquí: bit.ly/ganadinero123"
ham,"Hola María, ¿podemos reunirnos mañana a las 3pm para revisar el proyecto?"
spam,"URGENTE: Tu cuenta bancaria ha sido suspendida. Verifica tu información ahora: bancoseguro.net/verificar"
ham,"Recordatorio: La reunión de padres será el viernes a las 5pm en el auditorio"
spam,"¡Oferta exclusiva! iPhone 15 por solo $199. ¡Solo hoy! Compra ahora: ofertasflash.com/iphone"
ham,"¿Podrías enviarme el reporte mensual cuando tengas un momento? Gracias"
spam,"Gana un viaje todo pagado a Cancún. Responde SÍ a este mensaje para participar"
ham,"Feliz cumpleaños! Espero que tengas un día maravilloso"
spam,"¡Farmacia online! Viagra, Cialis sin receta. Precios increíbles: farmaciaexpress.net"
ham,"Tu pedido #2845 ha sido enviado. Llegará el miércoles 15 de octubre"
spam,"¡HEREDASTE $1,000,000! Un familiar te dejó herencia. Contacta al abogado: 555-0123"
ham,"El dentista confirma tu cita para el lunes 9am. Por favor llega 15 minutos antes"
spam,"¡Cupón de 80% descuento en Amazon! Usa código: AMAZON80. Válido solo 2 horas"
ham,"¿Quieres que nos juntemos para cenar este viernes? Tengo una reserva a las 8pm"
spam,"Tu número ganó un Samsung Galaxy S24. Reclama tu premio: premiosgratis.net/claim"
ham,"Buenos días equipo, la reunión de hoy se pospone para las 11am"
spam,"¡Alerta de seguridad! Tu Netflix será cancelado. Actualiza tu pago: netflix-seguro.com"
ham,"Gracias por tu solicitud. Hemos recibido tu CV y lo revisaremos pronto"
spam,"¡Oferta de trabajo! Gana $100 por hora como misterioso comprador. Inscríbete ya"
ham,"Mamá, llego a casa alrededor de las 7pm. ¿Necesitas que compre algo?"
spam,"¡Tu tarjeta de crédito fue aprobada! Límite de $50,000. Solicita ahora: creditosrapidos.org"
ham,"Recordatorio de pago: Tu factura de electricidad vence el 15 de este mes"
spam,"¡Perdí 20kg en 3 semanas! Descubre el secreto: dietamilagrosa.com/pierdepeso"
ham,"Hola doctor, necesito reprogramar mi cita del jueves. ¿Hay disponibilidad el viernes?"
spam,"¡Inversión garantizada! Retornos del 300% en 30 días. Invierte ahora: inversionsegura.net"
ham,"Tu código de verificación es: 458392. Válido por 10 minutos"
spam,"¡Tu paquete no pudo ser entregado! Actualiza tu dirección: correos-express.net/paquete"
ham,"¿Podrías pasarme los apuntes de la clase de ayer? No pude asistir"
spam,"¡Criptomonedas! Bitcoin subirá 1000% esta semana. Compra ahora: cryptogains.biz"
ham,"La pizza que ordenaste está en camino. Llega en 25-35 minutos"
spam,"¡Préstamos inmediatos! Sin buro de crédito. Desde $5,000 hasta $100,000. Aplica ya"
ham,"Bienvenido a nuestro servicio. Para activar tu cuenta haz clic en el enlace enviado a tu email"
spam,"¡Tu suscripción a Amazon Prime ha expirado! Renueva ahora: amazon-renew.com"
ham,"Tu vuelo AA245 está confirmado. Facturación online disponible 24 horas antes"
spam,"¡Trabajo desde casa! Gana $200 diarios completando encuestas. Inscríbete gratis"
ham,"Confirmado: Tu cita con el dermatólogo es el próximo martes a las 10:30am"
spam,"¡Oferta limitada! TV 65' 4K por $299. Solo quedan 3 unidades. Compra ya"
ham,"Hijo, no olvides recoger a tu hermana del entrenamiento a las 6pm"
spam,"¡Urgente! Tu Windows tiene virus. Descarga el antivirus aquí: pc-protection.net"
ham,"Tu reserva en Restaurante El Puerto está confirmada para hoy a las 8pm para 4 personas"
spam,"¡Gana un auto BMW! Participa en nuestro sorteo. Envía AUTO al 55555"
ham,"Tu examen de laboratorio está listo. Puedes ver los resultados en tu portal médico"
spam,"¡Inversión en oro! Precios suben 50% este mes. Compra ahora: goldinvestment.com"
ham,"Recordatorio: Tu libro prestado vence en 3 días. ¿Quieres renovarlo?"
spam,"¡Tu cuenta de PayPal necesita verificación! Accede inmediatamente: paypal-secure.net"
ham,"Tu entrenamiento personalizado está listo. Revisa tu email para los detalles"
spam,"¡Diplomas universitarios sin estudiar! Bachilleratos, maestrías, doctorados. Info aquí"
ham,"La junta de condominio será este sábado a las 10am en el salón social"
spam,"¡Alarma de seguridad activada en tu casa! Verifica aquí: homesecurity-alert.com"
ham,"Tu donación ha sido procesada exitosamente. Recibirás un recibo por email"
spam,"¡Oferta de celular! 50% descuento en planes ilimitados. Solo hoy: telefonica-ofertas.net"
ham,"Tu suscripción a Netflix se renovará automáticamente el 15 de cada mes"
spam,"¡Gana $5000 semanales trabajando desde casa! Sin experiencia. Comienza hoy"
ham,"Tu pedido de pizza ha sido confirmado. Tiempo de entrega: 30-45 minutos"
spam,"¡Urgente! Tu licencia de conducir será suspendida. Verifica tus datos: dmv-update.org"
ham,"Confirmamos tu cita de mantenimiento del auto para el miércoles a las 9am"
spam,"¡Inversión en propiedades! Retorno garantizado 200% anual. Info: propiedadesgold.com"
ham,"Tu medicamento está listo para recoger en la farmacia. Horario: 8am-8pm"
spam,"¡Tu teléfono ganó un premio! Responde OK para recibir $1000 en efectivo"
ham,"Recordatorio de pago: Tu suscripción al gimnasio vence el 5 de cada mes"
spam,"¡Oferta exclusiva para ti! Laptop gaming por $399. Compra ahora: techdeals.biz"
ham,"Tu entrega de comida está en camino. El repartidor Juan llegará en 15 minutos"
spam,"¡Alerta de cuenta! Tu Instagram tuvo acceso sospechoso. Verifica: instagram-secure.net"
ham,"Tu cita para la vacuna COVID está programada para el viernes a las 2pm en el centro de salud"
spam,"¡Gana $100 por hora como tutor online! Sin experiencia requerida. Inscríbete hoy"
ham,"Tu reserva de hotel está confirmada del 15 al 20 de diciembre. Nº confirmación: HTL284756"
spam,"¡Tu orden de Amazon fue cancelada! Actualiza tu método de pago: amazon-orders.net"
ham,"Tu análisis de sangre muestra resultados normales. Puedes ver el detalle en tu portal"
spam,"¡Inversión en diamantes! Oportunidad única. Retornos del 500% garantizados"
ham,"Recordatorio: Tu clase de yoga es hoy a las 6pm. No olvides tu mat"
spam,"¡Tu servicio de luz será cortado! Paga ahora: compañialuz.net/pago-urgente"
ham,"Tu solicitud de vacaciones del 1 al 15 de agosto ha sido aprobada"
spam,"¡Oferta de trabajo! Modelos webcam ganan $5000 mensuales. Trabaja desde casa"
ham,"Tu pedido de supermercado será entregado entre 4pm y 6pm hoy"
spam,"¡Tu cuenta de Microsoft necesita verificación! Accede ahora: microsoft-verify.net"
ham,"Tu sesión de terapia está confirmada para el jueves a las 3pm por videollamada"
spam,"¡Gana un crucero por el Caribe! Responde CRUCERO al 12345 para participar"
ham,"Tu préstamo estudiantil tiene un pago pendiente de $350. Vence el 25 de este mes"
spam,"¡Urgente! Tu paquete de DHL no puede ser entregado. Actualiza datos: dhl-update.net"
ham,"Tu membresía al museo ha sido renovada exitosamente. Válida por un año"
spam,"¡Inversión en petróleo! Oportunidad única. Gana 1000% en 6 meses. Info aquí"
ham,"Tu cita para la revisión dental de rutina es el próximo mes. Te llamaremos para confirmar"
spam,"¡Atención! Tienes un bono pendiente por reclamar. Entra ahora antes de que expire."
spam,"Activa tu tarjeta digital y recibe $300 de bienvenida."
spam,"No pagues más por internet; cambia a nuestro servicio oculto y ahorra un 80%."
spam,"Gana recompensas ilimitadas instalando esta aplicación secreta."
spam,"El sistema detectó actividad sospechosa. Reestablece tu cuenta aquí."
spam,"Tu banco autorizó un pago extraño. Cancélalo en este enlace."
spam,"Descubre el método que usan los famosos para hacerse ricos rápidamente."
spam,"Aprovecha nuestra oferta de préstamos instantáneos sin papeleo."
spam,"Haz clic para recibir acceso exclusivo a películas recién estrenadas."
spam,"Gana un cupón de supermercado solo por responder esta encuesta."
spam,"Confirma tu información fiscal para evitar multas."
spam,"Compra relojes de lujo originales al 90% de descuento."
spam,"Tu garantía extendida está por vencer. Renuévala aquí."
spam,"Invierte hoy y recibe intereses diarios garantizados."
spam,"Tu email fue seleccionado para un premio en efectivo."
spam,"Descarga esta app para acelerar tu teléfono y eliminar virus."
spam,"Adquiere tu tarjeta de regalo Amazon gratis, limitada por tiempo."
spam,"Haz clic para obtener acceso anticipado a ofertas secretas."
spam,"Cobra tu incentivo gubernamental completando este formulario."
spam,"Tu cuenta premium fue activada accidentalmente, cancélala aquí."
spam,"Recibe recompensas diarias solo por iniciar sesión."
spam,"Tu dirección fue seleccionada para un envío gratuito."
spam,"No pierdas tu saldo acumulado; transfórmalo en dinero real aquí."
spam,"Ahorra 50% en medicamentos si compras desde este enlace especial."
spam,"Solicita tu tarjeta negra sin historial crediticio."
spam,"Tu número ganó un sorteo sorpresa. Reclámalo ahora."
spam,"Accede a cursos caros completamente gratis con este truco."
spam,"Confirma tu última compra o tu cuenta será suspendida."
spam,"Tu móvil tiene archivos dañados. Repara el sistema aquí."
spam,"Conviértete en influencer en horas con esta herramienta automatizada."
spam,"Tu membresía exclusiva está lista para activarse."
spam,"Compra vuelos a mitad de precio usando este portal alternativo."
spam,"Gana dinero viendo videos desde tu teléfono."
spam,"Tu identidad está en riesgo; valida tus datos urgentemente."
spam,"Reclama tu paquete retenido pagando la tarifa mínima."
spam,"Mejora tu salud con este suplemento avalado por celebridades."
spam,"Obtén acceso ilimitado a libros premium sin pagar."
spam,"Tu sesión fue iniciada desde otro país; revisa tu actividad."
spam,"Recibe alertas de inversiones con beneficios inmediatos."
spam,"Tu tarjeta tendrá un cargo automático; cancélalo aquí."
ham,"Estoy organizando los archivos del proyecto, luego te los paso."
ham,"¿Quieres que prepare algo para la reunión de mañana?"
ham,"Hoy saldré temprano del trabajo, ¿nos vemos?"
ham,"El auto ya está en el taller, me dijeron que estará listo mañana."
ham,"¿Puedes enviarme el número de contacto de tu proveedor?"
ham,"La clase del lunes cambió de salón."
ham,"Ayer empecé un libro nuevo, te lo puedo prestar si quieres."
ham,"Ya confirmé nuestra reservación para el sábado."
ham,"Te dejé la comida en el refrigerador."
ham,"El reporte mensual está casi terminado."
ham,"¿Pasas por la farmacia de regreso?"
ham,"Hoy hay bastante tráfico en el centro, toma precauciones."
ham,"Voy a caminar un rato, ¿quieres acompañarme?"
ham,"¿Pudiste resolver el problema con tu contraseña?"
ham,"El equipo solicitó mover la reunión a las 3 pm."
ham,"Subí las fotos del evento a la carpeta compartida."
ham,"El perro del vecino sigue ladrando toda la noche."
ham,"Mañana dejaré el coche para servicio."
ham,"¿Quieres que revise tu presentación antes de enviarla?"
ham,"La cafetería nueva está muy buena, deberíamos ir."
ham,"Acabo de terminar la lectura, luego te cuento."
ham,"El jardín necesita riego hoy, ¿puedes hacerlo tú?"
ham,"Voy de camino al súper, ¿necesitas algo?"
ham,"La videollamada se atrasó 10 minutos."
ham,"Te envié los documentos corregidos."
ham,"Hoy cocinaré pasta, ¿te apetece venir?"
ham,"Recién vi tu mensaje, discúlpame la demora."
ham,"Rompí un vaso sin querer, ya lo limpié."
ham,"La computadora está un poco lenta, quizá necesite actualización."
ham,"¿A qué hora es tu cita médica?"
ham,"Mi hermana llega mañana de viaje."
ham,"Hoy salió un clima perfecto para correr."
ham,"Estoy editando el video del proyecto."
ham,"¿Podemos repasar los puntos finales antes de enviarlo?"
ham,"Te dejé los libros sobre la mesa."
ham,"Acabo de recibir tu paquete; lo guardé en tu oficina."
ham,"¿Quieres que reserve los boletos con anticipación?"
ham,"La reunión fue muy productiva hoy."
ham,"Si necesitas ayuda con tu tarea, avísame."
ham,"Tengo libre el domingo, ¿quieres salir?"
spam,Su tarjeta de regalo de $500 de Amazon está lista. Ingrese su dirección aquí para enviarla.
spam,RENOVACIÓN URGENTE: La garantía de su coche está a punto de expirar. Llame al 800-555-0199.
spam,Haz clic aquí para ver fotos íntimas de tu ex pareja. MUY CONFIDENCIAL.
spam,Inversión garantizada: multiplica tu dinero por 10 en 24 horas. ¡Regístrate ahora!
spam,Su perfil de Facebook ha sido reportado por contenido ilegal. Verifique aquí para evitar el cierre.
spam,¿Problemas con el tamaño? La solución es natural y sin cirugía. ¡Ordene hoy!
spam,Oportunidad única: Viaje a las Bahamas con 95% de descuento. ¡Plazas limitadas!
spam,¿Está soltero y triste? Conozca a su alma gemela hoy. Citas 100% garantizadas.
spam,Tienes una multa de tránsito sin pagar. Descarga el aviso oficial en este enlace.
spam,Mensaje de servicio: Hemos detectado que su antivirus ha caducado. Comprar la renovación.
spam,¡Hemos encontrado un error en su historial crediticio! Corríjalo haciendo clic aquí.
spam,Accede a películas y series GRATIS de por vida. Solo tienes que crear una cuenta.
spam,Te espías a ti mismo con tu propia cámara web. Paga para que no se filtre el video.
spam,¡Deshazte de la calvicie! Fórmula mágica probada por millones.
spam,Compra Bitcoins con 50% de descuento. Válido solo para los primeros 100 clientes.
spam,Aviso de Hacienda: Tienes un reembolso de impuestos pendiente. Proporciona tus datos bancarios.
